,Country,Region,Population,region_sale,region_population,region_per_person,country_sale
1,Albania ,EUROPE,3581655,2047.7599999998147,516254715,3.9665690995186647,14206882.048136523
4,Andorra ,EUROPE,71201,2047.7599999998147,516254715,3.9665690995186647,282423.6864548284
12,Austria ,EUROPE,8192880,2047.7599999998147,516254715,3.9665690995186647,32497624.64406448
19,Belgium ,EUROPE,10379067,2047.7599999998147,516254715,3.9665690995186647,41169286.44403389
22,Bermuda ,NORTHERN AMERICA,65773,3572.1200000003646,331672307,10.770027899858292,708377.0450573794
25,Bosnia & Herzegovina ,EUROPE,4498976,2047.7599999998147,516254715,3.9665690995186647,17845499.181076083
30,Bulgaria ,EUROPE,7385367,2047.7599999998147,516254715,3.9665690995186647,29294568.53080486
36,Canada ,NORTHERN AMERICA,33098932,3572.1200000003646,331672307,10.770027899858292,356476421.0955124
50,Croatia ,EUROPE,4494749,2047.7599999998147,516254715,3.9665690995186647,17828732.493492417
53,Czech Republic ,EUROPE,10235455,2047.7599999998147,516254715,3.9665690995186647,40599639.522513814
54,Denmark ,EUROPE,5450661,2047.7599999998147,516254715,3.9665690995186647,21620423.494551506
66,Faroe Islands ,EUROPE,47246,2047.7599999998147,516254715,3.9665690995186647,187404.52367585883
68,Finland ,EUROPE,5231372,2047.7599999998147,516254715,3.9665690995186647,20750598.523287155
69,France ,EUROPE,60876136,2047.7599999998147,516254715,3.9665690995186647,241469399.95569578
76,Germany ,EUROPE,82422299,2047.7599999998147,516254715,3.9665690995186647,326933744.32468814
78,Gibraltar ,EUROPE,27928,2047.7599999998147,516254715,3.9665690995186647,110778.34181135727
79,Greece ,EUROPE,10688058,2047.7599999998147,516254715,3.9665690995186647,42394920.59666326
80,Greenland ,NORTHERN AMERICA,56361,3572.1200000003646,331672307,10.770027899858292,607009.5424639132
85,Guernsey ,EUROPE,65409,2047.7599999998147,516254715,3.9665690995186647,259449.31823041633
92,Hungary ,EUROPE,9981334,2047.7599999998147,516254715,3.9665690995186647,39591651.01637503
93,Iceland ,EUROPE,299388,2047.7599999998147,516254715,3.9665690995186647,1187543.189566694
98,Ireland ,EUROPE,4062235,2047.7599999998147,516254715,3.9665690995186647,16113135.825983202
99,Isle of Man ,EUROPE,75441,2047.7599999998147,516254715,3.9665690995186647,299241.93943678756
101,Italy ,EUROPE,58133509,2047.7599999998147,516254715,3.9665690995186647,230590580.44599018
104,Jersey ,EUROPE,91084,2047.7599999998147,516254715,3.9665690995186647,361290.97986055806
119,Liechtenstein ,EUROPE,33987,2047.7599999998147,516254715,3.9665690995186647,134811.78398534085
121,Luxembourg ,EUROPE,474413,2047.7599999998147,516254715,3.9665690995186647,1881791.9462099483
123,Macedonia ,EUROPE,2050554,2047.7599999998147,516254715,3.9665690995186647,8133664.133294396
129,Malta ,EUROPE,400214,2047.7599999998147,516254715,3.9665690995186647,1587476.485594763
138,Monaco ,EUROPE,32543,2047.7599999998147,516254715,3.9665690995186647,129084.0582056359
146,Netherlands ,EUROPE,16491461,2047.7599999998147,516254715,3.9665690995186647,65414519.60851718
154,Norway ,EUROPE,4610820,2047.7599999998147,516254715,3.9665690995186647,18289136.135442648
163,Poland ,EUROPE,38536869,2047.7599999998147,516254715,3.9665690995186647,152859153.76759875
164,Portugal ,EUROPE,10605870,2047.7599999998147,516254715,3.9665690995186647,42068916.21551202
168,Romania ,EUROPE,22303552,2047.7599999998147,516254715,3.9665690995186647,88468580.1727077
174,St Pierre & Miquelon ,NORTHERN AMERICA,7026,3572.1200000003646,331672307,10.770027899858292,75670.21602440436
177,San Marino ,EUROPE,29251,2047.7599999998147,516254715,3.9665690995186647,116026.11273002045
181,Serbia ,EUROPE,9396411,2047.7599999998147,516254715,3.9665690995186647,37271513.51897728
185,Slovakia ,EUROPE,5439448,2047.7599999998147,516254715,3.9665690995186647,21575946.3552386
186,Slovenia ,EUROPE,2010347,2047.7599999998147,516254715,3.9665690995186647,7974180.289510049
190,Spain ,EUROPE,40397842,2047.7599999998147,516254715,3.9665690995186647,160240831.7644373
195,Sweden ,EUROPE,9016596,2047.7599999998147,516254715,3.9665690995186647,35764951.07644359
196,Switzerland ,EUROPE,7523934,2047.7599999998147,516254715,3.9665690995186647,29844204.111217864
213,United Kingdom ,EUROPE,60609153,2047.7599999998147,516254715,3.9665690995186647,240410393.43779898
214,United States ,NORTHERN AMERICA,298444215,3572.1200000003646,331672307,10.770027899858292,3214252522.1013064
103,Japan ,ASIA (EX. NEAR EAST)         ,127463611,777.5599999999488,127463611,6.1002508394332935,777559999.9999487
