Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,Year
15225,Tour de France 2011,tour-de-france-2011,Sports,E,X360,Unknown,Cyanide Studio,0.0
15654,The History Channel: Great Battles - Medieval,the-history-channel-great-battles-medieval,Strategy,,PS3,Unknown,Slitherine Software,0.0
15792,B.L.U.E.: Legend of Water,blue-legend-of-water,Adventure,,PS,Unknown,Unknown,0.0
20066,Wii de Asobu: Metroid Prime 2: Dark Echoes,wii-de-asobu-metroid-prime-2-dark-echoes,Shooter,,Wii,Unknown,Retro Studios,0.0
20087,Iron Master: The Legendary Blacksmith,iron-master-the-legendary-blacksmith,Action,RP,DS,Unknown,Barunson Creative,0.0
20143,Alone in the Dark: Inferno(JP sales),alone-in-the-dark-infernojp-sales,Action,,PS3,Unknown,Unknown,0.0
20168,Hello Kitty Picnic with Sanrio Friends,hello-kitty-picnic-with-sanrio-friends,Misc,,3DS,Unknown,Unknown,0.0
20185,Blood Bowl,blood-bowl,Sports,RP,DS,Unknown,Cyanide Studio,0.0
20187,Dokapon Kingdom (JP sales),dokapon-kingdom-jp-sales,Action,,Wii,Unknown,Unknown,0.0
20368,IQ Trainer,iq-trainer,Misc,E,DS,Unknown,DreamCatcher Interactive,0.0
20370,Captain Blood,captain-blood,Action,,X360,Unknown,SeaWolf,0.0
20400,M.C. Kids,mc-kids,Platform,,NES,Unknown,Virgin Interactive,0.0
20484,Castle of Shikigami III(JP sales),castle-of-shikigami-iiijp-sales,Action,,Wii,Unknown,Unknown,0.0
20497,Tenchu: Time of the Assassins,tenchu-time-of-the-assassins,Action,,PSP,Unknown,K2 LLC,0.0
20521,Jewel Quest 6: The Sapphire Dragon,jewel-quest-6-the-sapphire-dragon,Misc,,3DS,Unknown,Unknown,0.0
20522,Stuntman Ignition,stuntman-ignition,Racing,,PSN,Unknown,Paradigm Entertainment,0.0
20596,Chuck E. Cheese's Kart Racing,chuck-e-cheeses-kart-racing,Racing,E,Wii,Unknown,Tommo,0.0
20624,Bigfoot: Collision Course,bigfoot-collision-course,Racing,E,PC,Unknown,Destination Software,0.0
20637,Space Bust-A-Move (JP sales),space-bust-a-move-jp-sales,Action,,DS,Unknown,Unknown,0.0
20654,California Sports,california-sports,Sports,,Wii,Unknown,Destineer,0.0
20689,Hour of Victory,hour-of-victory,Shooter,,PC,Unknown,Nfusion,0.0
20767,Mind. Body. Soul.: Nutrition Matters,mind-body-soul-nutrition-matters,Misc,E,Wii,Unknown,Devils Details,0.0
20854,Rugby 2005,rugby-2005,Sports,,PC,Unknown,HB Studios Multimedia,0.0
20872,Heracles: Battle With The Gods,heracles-battle-with-the-gods,Platform,E,DS,Unknown,Midas Interactive Entertainment,0.0
20882,Mahjongg Mysteries,mahjongg-mysteries,Puzzle,E,DS,Unknown,Destineer,0.0
20953,Circus Wii,circus-wii,Misc,E,Wii,Unknown,505 Games,0.0
20967,Gold's Gym: Dance Workout (JP sales),golds-gym-dance-workout-jp-sales,Sports,E10,Wii,Unknown,Land Ho!,0.0
20981,Hospital Giant,hospital-giant,Simulation,E10,DS,Unknown,SouthPeak Games,0.0
21005,Tour de France 2011,tour-de-france-2011,Sports,E,PS3,Unknown,Cyanide Studio,0.0
21022,Undercover: Dual Motives,undercover-dual-motives,Adventure,,DS,Unknown,Sproing Interactive Media,0.0
21033,Football Manager Handheld 2007,football-manager-handheld-2007,Sports,,PSP,Unknown,Sports Interactive,0.0
21046,Arcade 3D,arcade-3d,Misc,RP,3DS,UFO Interactive,UFO Interactive,0.0
21060,SpongeBob: Yellow Avenger,spongebob-yellow-avenger,Action,E,PSP,Unknown,Unknown,0.0
21086,Ubisoft Action Adventure Collection,ubisoft-action-adventure-collection,Action,,PC,Unknown,Ubisoft,0.0
21134,Squash,squash,Sports,RP,WW,Unknown,Team6 Game Studios,0.0
21161,Mind. Body. Soul.: Nutrition Matters,mind-body-soul-nutrition-matters,Misc,E,DS,Unknown,MileStone Inc.,0.0
21221,Truckin' Collection,truckin-collection,Action,,PC,Unknown,Unknown,0.0
21228,My Baby and Me,my-baby-and-me,Misc,E,Wii,Unknown,,0.0
21290,100 Bullets,100-bullets,Shooter,,PSP,Unknown,Unknown,0.0
21301,100 Years' War,100-years-war,Role-Playing,,PC,Unknown,Internet Gaming Gate,0.0
21302,100-Yen Gomibako,100-yen-gomibako,Action,,PSN,Unknown,SCEI,0.0
21307,1001 Nights: The Adventures of Sindbad,1001-nights-the-adventures-of-sindbad,Adventure,,MS,Unknown,"Alawar Entertainment, Inc.",0.0
21309,1001 Nights: The Adventures of Sindbad,1001-nights-the-adventures-of-sindbad,Misc,,PC,Unknown,Unknown,0.0
21319,101-in-1 Explosive Megamix,101-in-1-explosive-megamix,Puzzle,E,WW,Unknown,Nordcurrent,0.0
21372,2 Days to Vegas,2-days-to-vegas,Action,RP,X360,Unknown,Steel Monkeys,0.0
21373,2 Days to Vegas,2-days-to-vegas,Action,RP,PC,Unknown,Steel Monkeys,0.0
21374,2 Days to Vegas,2-days-to-vegas,Action,RP,PS3,Unknown,Steel Monkeys,0.0
