,Genre,Year,counts,total_counts
0,Action,1970.0,1,10
1,Adventure,1970.0,2,10
2,Misc,1970.0,1,10
3,Racing,1970.0,1,10
4,Role-Playing,1970.0,2,10
5,Shooter,1970.0,1,10
6,Sports,1970.0,1,10
7,Strategy,1970.0,1,10
8,Action,1977.0,1,3
9,Racing,1977.0,1,3
10,Shooter,1977.0,1,3
11,Action,1978.0,3,9
12,Adventure,1978.0,1,9
13,Puzzle,1978.0,3,9
14,Shooter,1978.0,1,9
15,Sports,1978.0,1,9
16,Action,1979.0,1,1
17,Action,1981.0,3,7
18,Shooter,1981.0,3,7
19,Sports,1981.0,1,7
20,Action,1982.0,24,49
21,Action-Adventure,1982.0,1,49
22,Platform,1982.0,2,49
23,Puzzle,1982.0,3,49
24,Racing,1982.0,1,49
25,Shooter,1982.0,13,49
26,Simulation,1982.0,1,49
27,Sports,1982.0,4,49
28,Action,1983.0,20,39
29,Misc,1983.0,1,39
30,Platform,1983.0,7,39
31,Puzzle,1983.0,3,39
32,Racing,1983.0,3,39
33,Shooter,1983.0,3,39
34,Sports,1983.0,2,39
35,Action,1984.0,6,12
36,Misc,1984.0,1,12
37,Platform,1984.0,1,12
38,Puzzle,1984.0,1,12
39,Racing,1984.0,1,12
40,Shooter,1984.0,2,12
41,Action,1985.0,2,15
42,Misc,1985.0,1,15
43,Platform,1985.0,3,15
44,Puzzle,1985.0,3,15
45,Racing,1985.0,1,15
46,Shooter,1985.0,2,15
47,Sports,1985.0,3,15
48,Action,1986.0,3,19
49,Fighting,1986.0,1,19
50,Misc,1986.0,1,19
51,Platform,1986.0,9,19
52,Shooter,1986.0,4,19
53,Simulation,1986.0,1,19
54,Action,1987.0,1,16
55,Adventure,1987.0,2,16
56,Fighting,1987.0,2,16
57,Platform,1987.0,3,16
58,Puzzle,1987.0,1,16
59,Racing,1987.0,1,16
60,Role-Playing,1987.0,1,16
61,Shooter,1987.0,1,16
62,Sports,1987.0,4,16
63,Action,1988.0,2,17
64,Adventure,1988.0,1,17
65,Platform,1988.0,4,17
66,Racing,1988.0,1,17
67,Role-Playing,1988.0,2,17
68,Shooter,1988.0,3,17
69,Sports,1988.0,4,17
70,Action,1989.0,2,19
71,Misc,1989.0,1,19
72,Platform,1989.0,4,19
73,Puzzle,1989.0,5,19
74,Role-Playing,1989.0,2,19
75,Simulation,1989.0,1,19
76,Sports,1989.0,4,19
77,Action,1990.0,2,21
78,Platform,1990.0,5,21
79,Puzzle,1990.0,4,21
80,Role-Playing,1990.0,4,21
81,Shooter,1990.0,2,21
82,Sports,1990.0,4,21
83,Action,1991.0,3,34
84,Adventure,1991.0,2,34
85,Fighting,1991.0,1,34
86,Misc,1991.0,1,34
87,Platform,1991.0,5,34
88,Puzzle,1991.0,1,34
89,Racing,1991.0,3,34
90,Role-Playing,1991.0,3,34
91,Shooter,1991.0,2,34
92,Simulation,1991.0,2,34
93,Sports,1991.0,8,34
94,Strategy,1991.0,3,34
95,Action,1992.0,1,42
96,Adventure,1992.0,3,42
97,Fighting,1992.0,1,42
98,Misc,1992.0,1,42
99,Platform,1992.0,12,42
100,Puzzle,1992.0,4,42
101,Racing,1992.0,2,42
102,Role-Playing,1992.0,8,42
103,Shooter,1992.0,2,42
104,Sports,1992.0,5,42
105,Strategy,1992.0,2,42
106,Visual Novel,1992.0,1,42
107,Action,1993.0,4,66
108,Adventure,1993.0,4,66
109,Fighting,1993.0,8,66
110,Misc,1993.0,4,66
111,Platform,1993.0,8,66
112,Puzzle,1993.0,9,66
113,Racing,1993.0,1,66
114,Role-Playing,1993.0,8,66
115,Shooter,1993.0,4,66
116,Simulation,1993.0,4,66
